file,line,col,cast_expr,target_type,redundant_guess,suggested_action,source_line
test/OraclePadFallbackTest.t.sol,291,17,"bytes32(""predominantDenominator"")",bytes32,NO,SAFE-LITERAL,"bytes32(""predominantDenominator""),"
test/OraclePadFallbackTest.t.sol,299,13,"bytes32(""usd"")",bytes32,NO,SAFE-LITERAL,"bytes32(""usd""),"
test/FlashLoanLiquidatorTest.t.sol,387,70,uint16(bps),uint16,NO,REVIEW-SAFECAST,function setPremiumBps(uint256 bps) external { premiumBpsLocal = uint16(bps); }
test/OraclePadFallbackTest.t.sol,309,17,"bytes32(""ethPadFeed"")",bytes32,NO,SAFE-LITERAL,"bytes32(""ethPadFeed""),"
test/SecondaryQuorumTest.t.sol,224,24,int224(int256(SECONDARY_DISAGREE_18DEC)),int224,NO,REVIEW-SAFECAST,"abi.encode(int224(int256(SECONDARY_DISAGREE_18DEC)), uint32(block.timestamp))"
test/SecondaryQuorumTest.t.sol,224,31,int256(SECONDARY_DISAGREE_18DEC),int256,?,REVIEW-CONTEXT,"abi.encode(int224(int256(SECONDARY_DISAGREE_18DEC)), uint32(block.timestamp))"
test/SecondaryQuorumTest.t.sol,238,25,uint128(CHAINLINK_PRICE_8DEC),uint128,NO,REVIEW-SAFECAST,uint128 value = uint128(CHAINLINK_PRICE_8DEC);
test/OraclePadFallbackTest.t.sol,317,13,"bytes32(""usd"")",bytes32,NO,SAFE-LITERAL,"bytes32(""usd""),"
test/SecondaryQuorumTest.t.sol,493,17,int224(int256(SECONDARY_AGREE_18DEC)),int224,NO,REVIEW-SAFECAST,"int224(int256(SECONDARY_AGREE_18DEC)),"
test/SecondaryQuorumTest.t.sol,493,24,int256(SECONDARY_AGREE_18DEC),int256,?,REVIEW-CONTEXT,"int224(int256(SECONDARY_AGREE_18DEC)),"
script/SlippageCensusPreDeploy.s.sol,68,32,uint8(48 + v % 10),uint8,NO,REVIEW-SAFECAST,s[digits] = bytes1(uint8(48 + v % 10));
test/SecondaryQuorumTest.t.sol,507,17,uint128(CHAINLINK_PRICE_8DEC),uint128,NO,REVIEW-SAFECAST,"uint128(CHAINLINK_PRICE_8DEC),"
src/libraries/LibPeerLTV.sol,121,23,uint16(ltv),uint16,NO,REVIEW-SAFECAST,"return (true, uint16(ltv), uint16(liquidationThreshold));"
src/libraries/LibPeerLTV.sol,121,36,uint16(liquidationThreshold),uint16,NO,REVIEW-SAFECAST,"return (true, uint16(ltv), uint16(liquidationThreshold));"
src/libraries/LibPeerLTV.sol,181,23,uint16(borrowBps),uint16,NO,REVIEW-SAFECAST,"return (true, uint16(borrowBps), uint16(liquidateBps));"
test/PeriodicInterestCadenceTest.t.sol,289,51,uint64(startTs),uint64,NO,REVIEW-SAFECAST,"assertEq(l.lastPeriodicInterestSettledAt, uint64(startTs));"
test/PeriodicInterestCadenceTest.t.sol,368,34,"bytes32(""eur"")",bytes32,NO,SAFE-LITERAL,"fakeFeed, fakeDenom, bytes32(""eur""), bytes32(0), 50_000 * 1e18, 0, 0, 0"
src/libraries/LibPeerLTV.sol,181,42,uint16(liquidateBps),uint16,NO,REVIEW-SAFECAST,"return (true, uint16(borrowBps), uint16(liquidateBps));"
src/libraries/LibPeerLTV.sol,254,62,uint8(n),uint8,NO,REVIEW-SAFECAST,"if (n < uint256(minAssetReadings)) return (false, 0, uint8(n));"
test/PeriodicInterestCadenceTest.t.sol,378,44,"bytes32(""eur"")",bytes32,NO,SAFE-LITERAL,"address(0), makeAddr(""denom""), bytes32(""eur""), bytes32(0), 0, 0, 0, 0"
test/PeriodicInterestCadenceTest.t.sol,388,46,"bytes32(""eur"")",bytes32,NO,SAFE-LITERAL,"makeAddr(""ethFeed""), address(0), bytes32(""eur""), bytes32(0), 0, 0, 0, 0"
test/PeriodicInterestCadenceTest.t.sol,412,29,"bytes32(""eur"")",bytes32,NO,SAFE-LITERAL,"bytes32 eurSymbol = bytes32(""eur"");"
src/libraries/LibPeerLTV.sol,276,34,uint8(n),uint8,NO,REVIEW-SAFECAST,"return (true, medianBps, uint8(n));"
script/SlippageCensus.s.sol,199,32,uint8(48 + v % 10),uint8,NO,REVIEW-SAFECAST,s[digits] = bytes1(uint8(48 + v % 10));
test/PeriodicInterestSettleTest.t.sol,101,51,uint64(startTs),uint64,NO,REVIEW-SAFECAST,"assertEq(l.lastPeriodicInterestSettledAt, uint64(startTs));"
script/ConfigureRewardReporter.s.sol,137,30,uint32(acc),uint32,NO,REVIEW-SAFECAST,out[idx++] = uint32(acc);
script/lib/LibCreate2Deploy.sol,62,28,uint160(word >> 96),uint160,NO,REVIEW-SAFECAST,deployed = address(uint160(word >> 96));
test/PeriodicInterestSettleTest.t.sol,314,51,uint64(startTs + 30 days),uint64,NO,REVIEW-SAFECAST,"assertEq(l.lastPeriodicInterestSettledAt, uint64(startTs + 30 days));"
script/ConfigureRewardReporter.s.sol,147,20,uint32(acc),uint32,NO,REVIEW-SAFECAST,out[idx] = uint32(acc);
test/PeriodicInterestSettleTest.t.sol,330,41,uint128(expected),uint128,NO,REVIEW-SAFECAST,l.interestPaidSinceLastPeriod = uint128(expected);
test/PeriodicInterestSettleTest.t.sol,341,56,uint64(startTs + 30 days),uint64,NO,REVIEW-SAFECAST,"assertEq(after_.lastPeriodicInterestSettledAt, uint64(startTs + 30 days));"
test/PeriodicInterestSettleTest.t.sol,363,51,uint64(startTs),uint64,NO,REVIEW-SAFECAST,"assertEq(l.lastPeriodicInterestSettledAt, uint64(startTs));"
test/OracleAdminFacetTest.t.sol,215,33,uint160(0x1000 + i),uint160,NO,REVIEW-SAFECAST,assets[i] = address(uint160(0x1000 + i));
test/OracleAdminFacetTest.t.sol,228,33,uint160(0x1000 + i),uint160,NO,REVIEW-SAFECAST,assets[i] = address(uint160(0x1000 + i));
test/OracleAdminFacetTest.t.sol,245,33,uint160(0x1000 + i),uint160,NO,REVIEW-SAFECAST,assets[i] = address(uint160(0x1000 + i));
